learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,Accuracy,Balanced accuracy,Kappa,G-Mean,F1-score,Precision,Recall,MCC,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5500.0,0.25,0.0,5500.0,0.886,0.6598063682010884,0.42725080385852093,0.570952669579982,0.47706422018348627,0.8666666666666667,0.3291139240506329,0.49087296589779794,5500.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.265625,0.0,6000.0,0.89,0.6587915630468821,0.42931850253175113,0.5677787093562022,0.47619047619047616,0.8928571428571429,0.3246753246753247,0.4985663356715068,6000.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6500.0,0.265625,0.0,6500.0,0.878,0.6552090715804394,0.41793893129771026,0.561561051912261,0.4695652173913043,0.9,0.3176470588235294,0.4909881964471954,6500.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.28125,0.0,7000.0,0.904,0.6936231617082681,0.5124527688619839,0.6234495367385701,0.5555555555555557,0.967741935483871,0.38961038961038963,0.5796096148943897,7000.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7500.0,0.28125,0.0,7500.0,0.884,0.6407843137254903,0.3823216187433443,0.5384072370809817,0.43137254901960786,0.8148148148148148,0.29333333333333333,0.4448329079321483,7500.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.296875,0.0,8000.0,0.862,0.634010840108401,0.36440677966101714,0.5244690178432915,0.4201680672268907,0.8620689655172413,0.2777777777777778,0.4405281405704591,8000.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
8500.0,0.296875,0.0,8500.0,0.88,0.6467371491068173,0.391727493917275,0.5507427126572114,0.4444444444444444,0.8,0.3076923076923077,0.4483983886527275,8500.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9000.0,0.3125,0.0,9000.0,0.886,0.6474509803921569,0.3974630021141654,0.5505077869834466,0.44660194174757273,0.8214285714285714,0.30666666666666664,0.45798656889595035,9000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
9500.0,0.328125,0.0,9500.0,0.874,0.6392513736263736,0.38191664704497336,0.5325916316971626,0.43243243243243246,0.8888888888888888,0.2857142857142857,0.46068422320394614,9500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
10000.0,0.328125,0.0,10000.0,0.912,0.6944444444444444,0.521406195614341,0.6236095644623235,0.56,1.0,0.3888888888888889,0.5938320762976051,10000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
10500.0,0.328125,0.0,10500.0,0.88,0.6376613704071499,0.37164879356568414,0.5342072242964954,0.423076923076923,0.7857142857142857,0.2894736842105263,0.4299142036450973,10500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
11000.0,0.34375,0.0,11000.0,0.896,0.6752941176470588,0.46225439503619487,0.5971697955404998,0.5094339622641509,0.8709677419354839,0.36,0.5191049459744377,11000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
11500.0,0.34375,0.0,11500.0,0.904,0.6796020880527923,0.47691905322348654,0.6030226891555273,0.5200000000000001,0.896551724137931,0.36619718309859156,0.5364012053271765,11500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.34375,0.0,12000.0,0.884,0.6543322396402965,0.41200324412003253,0.5627746220700441,0.462962962962963,0.8333333333333334,0.32051282051282054,0.47160741498050845,12000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12500.0,0.34375,0.0,12500.0,0.89,0.6607843137254902,0.4270833333333336,0.5739440431835514,0.47619047619047616,0.8333333333333334,0.3333333333333333,0.48349191074610376,12500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
13000.0,0.34375,0.0,13000.0,0.902,0.6800850145920568,0.481020166073547,0.6026208462031868,0.5242718446601942,0.9310344827586207,0.36486486486486486,0.5471655902273194,13000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
13500.0,0.34375,0.0,13500.0,0.91,0.6982581794949393,0.5117611318461942,0.6340591479191472,0.5544554455445545,0.875,0.4057971014492754,0.5587613711108375,13500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.359375,0.0,14000.0,0.924,0.7125262365846897,0.5304700242178625,0.6577660164757668,0.5681818181818181,0.8064516129032258,0.43859649122807015,0.5601631945185453,14000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14500.0,0.359375,0.0,14500.0,0.9,0.6831372549019608,0.48293691830403357,0.608849767361117,0.5283018867924528,0.9032258064516129,0.37333333333333335,0.5423311180538308,14500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.359375,0.0,15000.0,0.87,0.6514011660710928,0.40952034883720934,0.5533422989711989,0.46280991735537197,0.9333333333333333,0.3076923076923077,0.4919625110582077,15000.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15500.0,0.359375,0.0,15500.0,0.876,0.6458062465690099,0.3943656468565628,0.5461827207225959,0.44642857142857145,0.8620689655172413,0.30120481927710846,0.4641985152965133,15500.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.375,0.0,16000.0,0.882,0.6557205574707563,0.41745655608214877,0.5638469056744809,0.4684684684684684,0.8666666666666667,0.32098765432098764,0.48318774414760685,16000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
16500.0,0.375,0.0,16500.0,0.9,0.6831372549019608,0.48293691830403357,0.608849767361117,0.5283018867924528,0.9032258064516129,0.37333333333333335,0.5423311180538308,16500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
17000.0,0.375,0.0,17000.0,0.886,0.6546649027330949,0.4192680740076621,0.5605360536919096,0.4672897196261682,0.8928571428571429,0.31645569620253167,0.4907116255119113,17000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
17500.0,0.390625,0.0,17500.0,0.896,0.6760275414173607,0.4738759156582624,0.594633082127343,0.5185185185185186,0.9655172413793104,0.35443037974683544,0.5493583878737437,17500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
18000.0,0.390625,0.0,18000.0,0.888,0.6723007136459507,0.46002237050179395,0.5896794235361842,0.5087719298245614,0.9354838709677419,0.3493975903614458,0.5316880229475008,18000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
18500.0,0.390625,0.0,18500.0,0.872,0.6375620127569099,0.377553005251897,0.5294448371432141,0.4285714285714286,0.8888888888888888,0.2823529411764706,0.4572456432081577,18500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
19000.0,0.390625,0.0,19000.0,0.868,0.6534569760376212,0.4131664117793509,0.5570418591778162,0.46774193548387094,0.9354838709677419,0.3118279569892473,0.49520844489666477,19000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
19500.0,0.40625,0.0,19500.0,0.898,0.6806727904667329,0.4773304911043703,0.6048258426197538,0.5233644859813085,0.9032258064516129,0.3684210526315789,0.5379540779900146,19500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
20000.0,0.40625,0.0,20000.0,0.866,0.6323983706498264,0.36639431078831897,0.5180257648231269,0.4173913043478261,0.9230769230769231,0.2696629213483146,0.4561972947979314,20000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
20500.0,0.40625,0.0,20500.0,0.91,0.6815087145969498,0.4866295518846402,0.6049338716808258,0.5263157894736842,0.9259259259259259,0.36764705882352944,0.5505684923617026,20500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
21000.0,0.40625,0.0,21000.0,0.87,0.6599451892850425,0.4228583605625799,0.5713546796578745,0.48,0.8823529411764706,0.32967032967032966,0.490287827663018,21000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
21500.0,0.40625,0.0,21500.0,0.882,0.6542284244893242,0.4198851569259817,0.5583463078774531,0.46846846846846846,0.9285714285714286,0.3132530120481928,0.4991734481449645,21500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
22000.0,0.421875,0.0,22000.0,0.914,0.6854124297680191,0.5001859773107686,0.6101414477482938,0.5376344086021505,0.9615384615384616,0.373134328358209,0.5689503194412205,22000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
22500.0,0.421875,0.0,22500.0,0.91,0.6965116279069767,0.512564991334489,0.6302454302298283,0.5544554455445545,0.9032258064516129,0.4,0.5655021085069848,22500.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
23000.0,0.421875,0.0,23000.0,0.904,0.6812587235122446,0.4877923851801269,0.6033310654787758,0.5294117647058824,0.9642857142857143,0.36486486486486486,0.5598859345708879,23000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
23500.0,0.421875,0.0,23500.0,0.894,0.677090049430475,0.46542402969418234,0.6001647456322718,0.5137614678899082,0.875,0.36363636363636365,0.5223261695861663,23500.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
24000.0,0.4375,0.0,24000.0,0.876,0.6506313021871659,0.40216762448412896,0.5563245282464814,0.456140350877193,0.8387096774193549,0.3132530120481928,0.4648202410726579,24000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
24500.0,0.4375,0.0,24500.0,0.896,0.6771175112407339,0.4728304947283051,0.5977232291745567,0.5185185185185185,0.9333333333333333,0.358974358974359,0.5412344939638513,24500.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
25000.0,0.4375,0.0,25000.0,0.88,0.6511019573649237,0.4012215081234283,0.5585209385282409,0.4545454545454545,0.8064516129032258,0.31645569620253167,0.45707494023831335,25000.0,0.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
25500.0,0.4375,0.0,25500.0,0.914,0.7094594594594594,0.5512606445149446,0.6472394602609756,0.5904761904761905,1.0,0.4189189189189189,0.6168553919197151,25500.0,0.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
26000.0,0.4375,0.0,26000.0,0.918,0.7022413070800168,0.5305916834585093,0.6381267096183001,0.5684210526315789,0.9310344827586207,0.4090909090909091,0.5857431779183924,26000.0,0.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
26500.0,0.453125,0.0,26500.0,0.89,0.6793383125218813,0.47204730456151156,0.6026839259311604,0.5217391304347826,0.9090909090909091,0.36585365853658536,0.5349124812078555,26500.0,0.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
27000.0,0.453125,0.0,27000.0,0.88,0.6586532850974443,0.4203122584634413,0.5703767848902543,0.47368421052631576,0.84375,0.32926829268292684,0.4800386615150066,27000.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
27500.0,0.453125,0.0,27500.0,0.914,0.7019451812555261,0.5151105096977899,0.6407886387691318,0.5567010309278351,0.84375,0.4153846153846154,0.5549666447225049,27500.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
28000.0,0.46875,0.0,28000.0,0.898,0.6847655890209081,0.4855967078189302,0.611516384773054,0.5321100917431193,0.90625,0.37662337662337664,0.5449651332471478,28000.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
28500.0,0.46875,0.0,28500.0,0.89,0.6663690476190476,0.4484556758924995,0.5795626429842223,0.4954128440366973,0.9310344827586207,0.3375,0.521870457154789,28500.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
29000.0,0.46875,0.0,29000.0,0.894,0.6855479471844211,0.4922204338162032,0.6104083116215336,0.5391304347826087,0.96875,0.37349397590361444,0.5641509288459272,29000.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
29500.0,0.46875,0.0,29500.0,0.882,0.6557205574707563,0.41745655608214877,0.5638469056744809,0.4684684684684684,0.8666666666666667,0.32098765432098764,0.48318774414760685,29500.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
30000.0,0.46875,0.0,30000.0,0.898,0.6806727904667329,0.4773304911043703,0.6048258426197538,0.5233644859813085,0.9032258064516129,0.3684210526315789,0.5379540779900146,30000.0,0.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
30500.0,0.46875,0.0,30500.0,0.87,0.8089160404596647,0.665376220089782,0.7946598955560517,0.7509578544061303,0.875,0.6577181208053692,0.6777854999035091,30500.0,0.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
31000.0,0.484375,0.0,31000.0,0.91,0.8608332851554219,0.7689843525401454,0.8525213780796738,0.8288973384030419,0.9396551724137931,0.7414965986394558,0.7789112943913208,31000.0,0.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
31500.0,0.484375,0.0,31500.0,0.908,0.854441100858925,0.7556882156741944,0.8458832330591411,0.816,0.918918918918919,0.7338129496402878,0.7641854833169929,31500.0,0.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
32000.0,0.5,0.0,32000.0,0.886,0.8340142244340867,0.7162711054475948,0.8222229527438814,0.7927272727272728,0.923728813559322,0.6942675159235668,0.7301618854713741,32000.0,0.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
32500.0,0.5,0.0,32500.0,0.886,0.8365757304710794,0.7171159725255092,0.8261843020140569,0.7942238267148015,0.9090909090909091,0.7051282051282052,0.7281854936434851,32500.0,0.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
33000.0,0.5,0.0,33000.0,0.884,0.8255166008822846,0.6988452272160838,0.8134577368665088,0.7751937984496124,0.8928571428571429,0.684931506849315,0.7099966871541313,33000.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
33500.0,0.5,0.0,33500.0,0.89,0.8341269841269842,0.7100990934008012,0.8244045470173349,0.7826086956521741,0.8761061946902655,0.7071428571428572,0.7174012191071405,33500.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
34000.0,0.515625,0.0,34000.0,0.88,0.8238676255716427,0.694718632339473,0.811581942760549,0.7744360902255639,0.8956521739130435,0.6821192052980133,0.7066745241386961,34000.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
34500.0,0.515625,0.0,34500.0,0.892,0.8341909001560964,0.7198181931386589,0.8223056742827237,0.7906976744186046,0.918918918918919,0.6938775510204082,0.732713757185832,34500.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
35000.0,0.515625,0.0,35000.0,0.868,0.8142275798525799,0.664906580016247,0.8034902556404097,0.7537313432835819,0.8416666666666667,0.6824324324324325,0.6717289476709984,35000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
35500.0,0.515625,0.0,35500.0,0.88,0.8285714285714285,0.6969696969696971,0.8185352771872451,0.7777777777777777,0.875,0.7,0.7051102404077106,35500.0,0.0,33.0,17.0,17.0,7.0,0.0,0.0,1.0
36000.0,0.53125,0.0,36000.0,0.88,0.8285692679975801,0.6985530546623794,0.8181157434195812,0.7794117647058824,0.8833333333333333,0.6973684210526315,0.7077598634906056,36000.0,0.0,33.0,17.0,17.0,7.0,0.0,0.0,1.0
36500.0,0.53125,0.0,36500.0,0.864,0.8044362220809003,0.650169770552526,0.7913384182905739,0.7404580152671755,0.8434782608695652,0.6598639455782312,0.6591633537260401,36500.0,0.0,33.0,17.0,17.0,7.0,0.0,0.0,1.0
37000.0,0.53125,0.0,37000.0,0.878,0.8202519379844961,0.6926766353633469,0.8057448766213474,0.7732342007434945,0.9203539823008849,0.6666666666666666,0.7095264312351606,37000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
37500.0,0.53125,0.0,37500.0,0.878,0.817142634207241,0.6807352510153666,0.8044381806682562,0.7607843137254903,0.8738738738738738,0.6736111111111112,0.6911217804093563,37500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
38000.0,0.53125,0.0,38000.0,0.846,0.7972415725838737,0.6067255046171446,0.7897777529350567,0.7116104868913857,0.7364341085271318,0.6884057971014492,0.6073675212773433,38000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
38500.0,0.546875,0.0,38500.0,0.884,0.8257142857142857,0.702258726899384,0.8127554543473877,0.7786259541984734,0.9107142857142857,0.68,0.7160141091503851,38500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
39000.0,0.546875,0.0,39000.0,0.854,0.7972186772764808,0.6344443554202387,0.783385387734407,0.7326007326007326,0.8403361344537815,0.6493506493506493,0.6444192929006238,39000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
39500.0,0.546875,0.0,39500.0,0.898,0.8535136599334416,0.741337336687495,0.8467879096622475,0.8104089219330854,0.8861788617886179,0.7465753424657534,0.7464333301832371,39500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
40000.0,0.546875,0.0,40000.0,0.892,0.8504761904761905,0.7316103379721671,0.8441168955383688,0.8057553956834532,0.875,0.7466666666666667,0.7360235531305563,40000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
40500.0,0.546875,0.0,40500.0,0.888,0.8875008008200398,0.7755978713855228,0.887363686577127,0.8828451882845189,0.8940677966101694,0.871900826446281,0.7758221435339013,40500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
41000.0,0.5625,0.0,41000.0,0.88,0.8799340789452631,0.7599654350226432,0.8797797361829535,0.8775510204081632,0.8921161825726142,0.8634538152610441,0.7603549486692563,41000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
41500.0,0.5625,0.0,41500.0,0.882,0.8821181138898222,0.764052852161116,0.8816237497747997,0.8788501026694047,0.9067796610169492,0.852589641434263,0.7654312525014264,41500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
42000.0,0.5625,0.0,42000.0,0.862,0.8618589743589744,0.7236019868610799,0.8618517630883292,0.8565488565488565,0.8547717842323651,0.8583333333333333,0.7236077924547133,42000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
42500.0,0.5625,0.0,42500.0,0.872,0.872,0.744,0.8716696622000791,0.8688524590163934,0.8907563025210085,0.848,0.7448585718974209,42500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
43000.0,0.578125,0.0,43000.0,0.874,0.8736786469344608,0.7476446837146702,0.8736209307562355,0.8690228690228691,0.8744769874476988,0.8636363636363636,0.7476986718863522,43000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
43500.0,0.578125,0.0,43500.0,0.876,0.876414203645325,0.752178431529299,0.8757342262939453,0.8729508196721311,0.9063829787234042,0.841897233201581,0.7541328647496552,43500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
44000.0,0.59375,0.0,44000.0,0.874,0.874,0.748,0.8731735222737803,0.8690228690228691,0.9047619047619048,0.836,0.7501696273628163,44000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
44500.0,0.59375,0.0,44500.0,0.916,0.9161909038424529,0.8317415550285239,0.916182271414954,0.9124999999999999,0.9049586776859504,0.9201680672268907,0.8318483663280887,44500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
45000.0,0.609375,0.0,45000.0,0.896,0.8964170840601047,0.7921496522503798,0.8957430095723017,0.8934426229508197,0.9276595744680851,0.8616600790513834,0.794207945244376,45000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
45500.0,0.609375,0.0,45500.0,0.864,0.8643164615704662,0.7281435402107688,0.8639140431988944,0.8617886178861789,0.8870292887029289,0.8379446640316206,0.7292867512676817,45500.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
46000.0,0.609375,0.0,46000.0,0.886,0.8864745898359344,0.7721458266709306,0.8861569328532377,0.8853118712273641,0.9090909090909091,0.8627450980392157,0.7731905493306683,46000.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
46500.0,0.625,0.0,46500.0,0.882,0.882,0.764,0.8813444275650695,0.8778467908902691,0.9098712446351931,0.848,0.7657725174647388,46500.0,0.0,37.0,19.0,19.0,7.0,0.0,0.0,1.0
47000.0,0.625,0.0,47000.0,0.888,0.8879342069473111,0.7759677393544671,0.887781848488562,0.8857142857142857,0.9004149377593361,0.8714859437751004,0.7763654548424104,47000.0,0.0,37.0,19.0,19.0,7.0,0.0,0.0,1.0
47500.0,0.625,0.0,47500.0,0.858,0.8583833533413365,0.7161362545977931,0.8581693200253275,0.8577154308617235,0.8770491803278688,0.8392156862745098,0.716829815726995,47500.0,0.0,37.0,19.0,19.0,7.0,0.0,0.0,1.0
48000.0,0.625,0.0,48000.0,0.894,0.8944777911164465,0.788135593220339,0.8941587151748672,0.8933601609657948,0.9173553719008265,0.8705882352941177,0.7892019502279694,48000.0,0.0,37.0,19.0,19.0,7.0,0.0,0.0,1.0
48500.0,0.640625,0.0,48500.0,0.884,0.8845138055222088,0.7681669198177312,0.8841406459793312,0.8830645161290321,0.9087136929460581,0.8588235294117647,0.7693725051579755,48500.0,0.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
49000.0,0.640625,0.0,49000.0,0.864,0.8637032770097286,0.7278258085174512,0.8629065157303617,0.8577405857740587,0.8913043478260869,0.8266129032258065,0.729722135652513,49000.0,0.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
49500.0,0.640625,0.0,49500.0,0.856,0.8564112412777671,0.7121842021106491,0.8560254619901462,0.854251012145749,0.8791666666666667,0.8307086614173228,0.7133021055614889,49500.0,0.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
50000.0,0.65625,0.0,50000.0,0.882,0.8845845042151746,0.7645650438946529,0.8835351059354196,0.8831683168316832,0.9291666666666667,0.8415094339622642,0.7683982205742217,50000.0,0.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
